Category,Task,Week of 20/01,Week of 27/01,Monday 02/03
DOS,Director of Students,2,4.5,
Management,Line management of 4 people,1.5,6.5,1
UG,Course lead on UG Data Science,,1,
Management,Team meetings,1.25,1,
PG,PG supervision (MSc and PhD),,2,
UG,Course lead on Research Design,1,1,
Random,Random emails,5,2.5,1
Random,Random meetings,,0.5,
Management,Recruitment of staff,,0,
Scholarship,NoLo paper,,0,
Scholarship,Echo360 paper,,0,
UG,Oversight of UG projects,,0,
UG,REBM,,0,2
Scholarship,Conferences,,0,
Management,Meetings with Michelle,1,0,
UG,Meetings with UG admin,0.5,0.5,
Networking,"Work social events (Usher Forum, etc)",,0,
Networking,"UoE events (open research conference, etc.)",,0,
Scholarship,Winter School,,0,
Scholarship,PTAS project with Crispin,,0,
CPD,Aurora,,1,
PG,"PG marking (proposals, dissertations)",3,0.25,
Scholarship,Echo360 project,0.5,1,
Scholarship,PTAS project with Jordana,,0,
Management,Line management of interns,,0,
Admin,SSI (organising and reporting),,0,
PG,MSc course development and advice,3,1,2
Scholarship,PTAS book project,,2,
Scholarship,Reviewing for journals,,0,
UG,Boards of Studies (incl. prep),3.5,0,
UG,Boards of Examiners (incl. prep),,3,
UG,UG project supervision,1.5,1.5,
UG,UG team meetings,0.5,0,
Admin,Financial admin,,0,
Management,Staff induction,,0,
Admin,Annual review (prep and meeting),,0,
Management,Digital research intern,,0,
Networking,Learning analytics networking,2.75,1,
Scholarship,DSM paper with Areti,0.5,0,
UG,Coordination of shared UG and PG courses,0.5,0,
UG,UG cohort/programme lead,2.5,1.75,1
,,,,
,,,,
,Week total,30.5,32,7
,,,,
,Paperwork for UG LTC,,,
,Booking rooms for hackathon,,,
