Category,Task,Week of 20/01,Week of 27/01,Week of 03/02,Week of 10/02
DOS,Director of Students,2,4.5,1,0
Management,Line management + being managed + PDRs,2.5,6.5,2,3.5
UG,Course lead on UG Data Science,,1,0,0
Management,Team meetings,1.25,1,0,1.5
PG,PG supervision (MSc and PhD),,2,0,1.5
UG,Course lead on Research Design,1,1,3,2.5
Random,Random emails,5,2.5,3,2.25
Management,Recruitment of staff,,0,0,0
Scholarship,NoLo paper,,0,0,0
UG,REBM,,0,2,2.5
Scholarship,Conferences and learning events (attending),,0,0,2.5
UG,UG team/admin meetings,1,0.5,0,0.5
Networking,"Work social events (Usher Forum, etc)",,0,0,0
Networking,"UoE events (open research conference, etc.)",,0,0,0
Scholarship,Winter School,,0,0,0
Scholarship,PTAS project with Crispin,,0,0,0
CPD,Aurora,,1,7,1.25
PG,"PG marking (proposals, dissertations)",3,0.25,0,0
Scholarship,Echo360 project,0.5,1,0,1
Scholarship,PTAS project with Jordana,,0,0,0
Admin,SSI (organising and reporting),,0,0,0
PG,MSc course development and advice,3,1,3,4
Scholarship,PTAS book project,,2,1,1.5
Scholarship,Reviewing for journals,,0,0,1
UG,"Boards (Studies and Examiners, + prep)",3.5,3,0,0
UG,UG project supervision + oversight,1.5,1.5,1,1.5
Admin,Financial admin,,0,0.25,0
Networking,Networking + random meetings,2.75,1.5,0,2
Scholarship,Other research and scholarship,0.5,0,0,0.5
UG,UG cohort/programme lead (incl. electives),3,1.75,10,3.5
Management,Senate,0,0,3,0
,,,,,
,Week total,30.5,32,36.25,33
